token,weight,occurence
aaa,0.3386749874607846,2.0
aah,0.41137476979018,1.0
aahh,0.41110726252571506,3.0
aannyywwhheerree,0.5822929199937603,1.0
aaron,0.8486686331529228,10.0
aarp,0.4358298507605515,2.0
aarrgg,0.41137476979018,1.0
aas,0.34560120877171924,1.0
abacus,0.3713521779143168,1.0
abbos,0.20555952064842786,1.0
abdirhman,0.2394780858462741,1.0
abdul,0.4000765414807282,2.0
abe,0.2926011891010662,8.0
abett,0.5190014420061714,1.0
abetting,0.2674541168127648,2.0
abey,0.37240036869490994,2.0
abkaz,0.5074556931513913,1.0
abkazia,0.5074556931513913,1.0
abkazians,0.5074556931513913,1.0
abnormal,0.22891314686511582,5.0
aborigine,0.9180515715791027,1.0
abortionist,0.23692075570194324,1.0
abou,0.6658555434390651,2.0
abound,0.6224304409400425,3.0
abrahms,0.4527651069249173,1.0
abrams,1.0637600142521257,6.0
abreast,0.5084090242249846,1.0
abrevashun,0.464710853789718,1.0
absently,0.35768548590924537,4.0
absofuckinglutely,0.3021320522361659,1.0
absorb,0.24637126674968268,3.0
absorbed,0.2716585792582536,8.0
absurdity,0.25864485676681226,5.0
abueses,0.22238595522268523,1.0
abuse,0.34264341711722646,169.0
abused,0.43925476225012633,30.0
abuser,0.4274882045814157,11.0
abusive,0.5943750899378742,49.0
abut,0.3810372152487323,2.0
abysmal,0.7474481933506569,3.0
acb,0.5408235627189129,2.0
accepting,1.0041547754150353,6.0
accessing,0.2914794587349839,5.0
accidential,0.6297090615548453,1.0
accompany,0.3408210238253157,2.0
accomplice,0.547854662516777,3.0
accomplishment,0.8232924911494791,15.0
accountabilty,0.2588205786410624,1.0
accounts,0.5457329472474124,8.0
accout,0.4166372673311901,1.0
accoutns,0.36962763325741077,1.0
accpetable,0.31341884304031375,1.0
accreditation,0.2342357941046757,11.0
accross,0.5187819653067839,4.0
accruacy,0.5090808256637367,1.0
accuses,0.6646893284691087,6.0
acedmic,0.22794282954680445,1.0
acknoledge,0.578233883559726,1.0
aclu,0.6255982846003554,4.0
acquire,0.43800526142732193,5.0
acquired,0.2717286957668519,5.0
acquisition,0.33829591658253005,2.0
acs,0.29810840219655393,3.0
actally,0.7299435258904456,1.0
actaully,0.40604409604180436,2.0
actions,0.31975922124804657,7.0
activating,0.48389742444873346,1.0
activite,0.2896629441462498,1.0
actrually,0.24147204205081804,1.0
actuall,0.6023338255511176,2.0
actualy,1.1344461327111575,3.0
acutually,0.33069781693737055,1.0
adcreative,0.6539025811267196,1.0
addaled,0.30040991674602935,1.0
addy,0.8071096131361354,2.0
adequate,0.8302689771259336,11.0
adequately,0.21018655179212736,17.0
adfuasdhflsdhfajksd,0.41137476979018,1.0
adhd,0.27118770885313215,2.0
adhered,0.8888131517017541,4.0
adi,0.3207702072818081,3.0
adjunct,0.8648013491332103,1.0
adjust,0.28359325591711176,11.0
adkins,0.39807632799096543,2.0
adlade,0.4362819231278487,2.0
admi,0.7245940416874491,2.0
adminastator,0.35679899149373123,1.0
administratos,0.5615799302188437,1.0
adminstrators,0.37912557404798597,4.0
admiralty,0.7783713760171574,1.0
admision,0.34779595284809817,1.0
admission,1.3864873605815302,12.0
admistor,0.7297579305693579,3.0
admistrator,0.3411659063411984,2.0
admixture,0.6545370728692386,6.0
admonition,0.2683628397294807,2.0
adolf,0.35218049757055003,23.0
adolfadolf,0.24086074344345978,1.0
adolph,0.2896092596841124,3.0
adorable,0.38713455540949465,5.0
adorned,0.2628706927733137,3.0
adresses,0.24539962839877116,1.0
adsl,0.26360481416129133,2.0
adtiors,0.5233843576185078,5.0
adult,0.2922023227643994,35.0
adultery,0.3543051737642905,3.0
adults,0.42576930458092666,1.0
advanced,0.2527526214082869,23.0
advancement,0.49826529146143267,3.0
adventures,0.6661580164631161,5.0
aemoreira,0.6034387732876887,1.0
aerospace,0.3282214399044584,3.0
af,0.6222266721687978,5.0
afaics,0.20692579042398418,1.0
afaik,0.21469307810877145,5.0
afds,0.2781031598559926,6.0
affair,0.39782572576964065,29.0
affecting,0.45310575445611495,6.0
affiliation,0.5382567181651717,13.0
affirmative,1.968927279734941,10.0
affraid,0.41741304952057046,2.0
afganistan,0.3131699932670034,1.0
afghanistan,0.35053070036493383,29.0
afi,1.8444660478294646,3.0
afp,0.3483668501290873,3.0
afre,0.2130450611999028,1.0
afrer,0.2005866506005922,1.0
africa,0.415751319909944,57.0
afrikaans,0.7513028540840824,2.0
afro,0.5059266289619636,6.0
afrocentrist,0.5374094065578049,3.0
afrocentrists,0.4827434718268609,1.0
afshars,0.33984976520352683,1.0
aftermat,0.5829308105979206,1.0
afterschool,0.4374098478264275,2.0
afu,0.5409785105780613,1.0
agai,0.44925839842832516,1.0
agains,0.6937089686548098,2.0
agan,0.35269478526824327,1.0
aged,0.5474425759196314,10.0
agendum,0.3698616414945443,1.0
agentbond,0.45527022077315704,1.0
agents,0.6718347529859737,4.0
aggression,0.7825158075788664,10.0
aggressiv,0.7962439040971202,5.0
aggressive,1.0948540379253953,30.0
aggro,0.7856060814503676,3.0
agitated,0.38555755407932923,2.0
agitator,0.2278741458528317,2.0
agoian,0.5462858415750642,11.0
agony,0.2756347367090694,6.0
agression,0.47120252251706696,2.0
agsman,0.7880526836676001,3.0
aha,0.5535822705878598,3.0
ahah,0.41137476979018,1.0
ahaha,0.6966259137180113,3.0
ahahah,0.24894899286163988,1.0
ahahaha,0.4616019340972299,2.0
ahahahaha,0.591228780884293,1.0
ahahahahahahahahahahaha,0.41137476979018,1.0
ahahahahahahahahahhahahahhaa,0.41137476979018,1.0
ahahahahahahhahahahahahahahahahhahahahahahahahahahahahahahahahaha,0.34647858829810974,1.0
ahamed,0.2831842590393901,1.0
ahbl,0.4572817967940073,3.0
ahd,0.21942403476518785,3.0
ahhahahaha,0.39653886014604633,1.0
ahmadinejad,0.9051594751422213,5.0
ahmadis,0.3781156187729864,1.0
ahnuld,0.47318685337738275,1.0
ahole,0.43493819324400157,6.0
ahs,0.42742141438465175,2.0
ahyyee,0.2831842590393901,1.0
aid,0.3500263997584377,29.0
aide,0.28815890660839094,1.0
aiding,0.811114859125382,6.0
aild,0.38653156618653023,1.0
ailment,0.25425471196159977,1.0
aiming,0.2876886093336962,4.0
ainm,0.4021612513502654,2.0
aipac,0.7574456223033984,3.0
airborne,0.49953180799367247,3.0
airbus,0.6171731349278748,6.0
aired,0.5224176174609547,8.0
airlift,0.3676244565422091,1.0
airline,0.27324087755930365,9.0
airliner,0.4274052251261413,3.0
airports,0.23727731282672967,1.0
aj,0.5515852451512555,5.0
akbar,0.7081465228894223,17.0
akbarnama,0.3761291486946034,1.0
ake,0.2230472702416335,2.0
akhed,0.24011489934774494,1.0
akm,0.5607943478637706,1.0
akmon,0.24011489934774494,1.0
aknowledged,0.5189624716808993,1.0
alalalalalalalalalalala,0.41137476979018,1.0
alalalallalala,0.41137476979018,1.0
alarichus,0.6933909446271105,1.0
alarm,0.37082539805517917,6.0
alc,0.4834893530969288,1.0
