token,weight,occurence
aaa,0.9949447469077468,7.0
aahh,0.6814538863249558,10.0
aake,0.4744104513300246,1.0
aall,0.44480335993417014,4.0
aamir,0.6849054969667232,4.0
aannaall,0.49631649929835175,1.0
aannyywwhheerree,0.8364849952378719,1.0
aargh,0.4448818151490546,5.0
aarp,1.445465652600755,4.0
aarrgg,0.7851881493217242,1.0
aas,0.6220325011378788,6.0
abacus,0.7278314188082718,3.0
abandon,0.3387134770574389,81.0
abb,0.3882688296035852,6.0
abbos,0.5039625427420374,1.0
abbreviated,0.26243413180213565,43.0
abd,0.5247648227121353,53.0
abdhir,0.4476368135279608,1.0
abdirhman,0.7136431875173169,1.0
abduction,0.2270047623066,28.0
abe,0.7896079679155387,38.0
abeg,0.8267868357637371,1.0
abett,0.8352092411807341,1.0
abetting,0.7241259622066253,6.0
abey,1.0589301341707655,2.0
abject,0.3462366126550321,20.0
abkaz,0.7464349955073719,1.0
abkazia,0.5529482732945643,3.0
abkazians,0.7464349955073719,1.0
abnormal,0.39707720980538236,29.0
abominably,0.5667476984626314,1.0
aborigine,0.670424303331881,17.0
aborted,0.2161552093775978,14.0
abortionist,0.5641014298048195,4.0
abou,1.1728063403576074,22.0
abound,0.5850687750248812,23.0
about,0.46496234819219945,1161.0
abrahms,0.7909382238150573,1.0
abrams,1.1233750209418776,28.0
abreast,0.8515766288538371,3.0
abrevashun,0.7294057142959444,2.0
absalom,0.7391483518713137,1.0
absofuckinglutely,0.7839795761300341,1.0
absolom,0.7391483518713137,1.0
absolte,0.37666555820542236,2.0
absolutly,0.3390476258125835,34.0
absorb,0.6075874242842376,27.0
absorbed,0.521006053224463,69.0
absorbing,0.257539445360585,13.0
abueses,0.5399813993042465,1.0
abused,0.6651402332170668,237.0
abuseive,0.4083300552600769,2.0
abuser,0.9883597670783233,60.0
abusinmg,0.24638898458239844,1.0
abut,0.661116013749554,13.0
acalamari,0.24425358454927987,19.0
acb,1.0511830582778285,3.0
acceptance,0.31968499302709313,167.0
accidential,0.7800171866733866,1.0
acclaimed,0.27921964581842806,29.0
accompany,0.780174498205572,23.0
accomplice,0.7553538416256382,21.0
accomplish,0.32775923623297215,143.0
accomplishment,0.3988100292204194,121.0
accontless,0.4373793814647539,1.0
accounst,0.4342650849602856,1.0
account,0.25004595152949116,6252.0
accountabilty,0.7576120515212601,1.0
accout,0.6320708279694683,8.0
accoutns,0.8092911684811235,1.0
accpetable,0.64017498906102,1.0
accross,0.5787200951954924,28.0
accruacy,0.8720894704798932,1.0
accumulated,0.28998934449177416,29.0
acedmic,0.6520116536653127,1.0
achivements,0.3014821565901464,2.0
acid,0.29871163685444196,198.0
acknoledge,0.7429903201465966,4.0
aclu,0.24854201635834944,37.0
acquire,0.7453374799168743,51.0
acquisition,0.39818485178051954,51.0
acs,0.6354244429277977,24.0
actally,0.4053038860800885,7.0
actaully,0.8553095550631344,8.0
actions,0.37811543548993587,32.0
activating,0.7680626503063906,1.0
activism,0.4220631761112588,78.0
activite,0.8313007579706111,1.0
actress,0.4256684999062563,261.0
actrually,0.8132064177675907,1.0
actuall,0.6511339703125055,8.0
actualy,0.6082233077155442,32.0
acturely,1.2046789801589726,2.0
acually,0.5802834705785125,5.0
acuse,0.3161791335727094,8.0
acutually,0.7217562497329191,1.0
adage,0.3354456098650246,6.0
adcreative,0.8808284316585799,1.0
addage,0.36547938193666385,1.0
addaled,0.7044168285099303,1.0
addiction,0.6385106652162343,109.0
addy,0.20299937139642613,11.0
adequate,0.37689410147178376,201.0
adfuasdhflsdhfajksd,0.7851881493217242,1.0
adhered,0.5261508554801906,30.0
adi,0.3300894861087306,36.0
adick,0.6251681929947813,1.0
adieu,0.2532197709965694,12.0
adige,0.2659954652707515,26.0
adjunct,0.5951831591803409,17.0
adjust,0.49544468049354473,107.0
adkins,0.659037425237093,8.0
adlade,1.3039494586887377,2.0
admi,0.5051138870141144,31.0
adminastator,0.7835140841090961,1.0
administratives,0.3520055852350467,2.0
administrator,0.7056069525484185,3676.0
administratos,0.8714972385371016,1.0
adminitrators,0.24365610049430605,2.0
adminstrators,0.8425105421236119,18.0
admiralty,0.8517528594045558,6.0
admision,0.8529690287943142,1.0
admission,0.7794316121126137,160.0
admistor,1.62099841633292,3.0
admistrator,0.9294464640444925,3.0
admisttraot,0.28613059722698014,1.0
admitt,0.38687564775254835,4.0
admixture,0.9929313393395992,37.0
admonish,0.3901652586972578,8.0
admonition,0.2917953005822033,12.0
adolf,0.30138555182010823,175.0
adolfadolf,0.6148304836353341,1.0
adolph,0.3703898350493336,19.0
adorable,0.5661040337099311,14.0
adresses,0.20977887733549413,16.0
adrian,0.23166907181915786,57.0
adrienne,0.2711924142029068,9.0
adsense,0.546480845185053,8.0
adsl,0.7054253273513683,2.0
adtiors,1.0044994028775531,5.0
adultery,0.6531388436649498,25.0
adults,0.4876684604811894,8.0
advancement,0.2746245836293431,30.0
adventures,0.363408276340974,55.0
adversary,0.24705140338552622,36.0
aemoreira,0.8673190660508333,3.0
aerospace,0.5232936672726378,14.0
af,0.4604508602432825,62.0
afa,0.34486253625419755,23.0
afaics,0.6717794455875437,3.0
affirm,0.3381350503468392,40.0
affirmation,0.5860606817863765,35.0
affirmative,1.397041651437683,60.0
affirmatvie,0.5151092232230589,2.0
affix,0.3234294653321855,90.0
afflicted,0.28289817513262855,12.0
affraid,0.7935782155618811,8.0
affront,0.37653133237897385,16.0
afganistan,0.4512719723982883,7.0
afghani,0.5713607502467488,18.0
afi,1.8736950131645356,12.0
aflis,0.5073709949407246,1.0
aforethought,0.21621856604528203,4.0
afre,0.7447309607427339,2.0
afrer,0.557333983241673,1.0
africa,0.25318446622386714,626.0
afrikaans,1.0295377449135703,9.0
afro,0.6690565065633803,61.0
afrocentrist,1.488888851661201,4.0
afrocentrists,0.5880958871745164,5.0
afshars,0.7287283344011388,1.0
aftermat,0.8715037799631501,1.0
afterschool,1.2918307961670359,2.0
afu,0.7694104037558489,4.0
agai,0.7897723427108342,2.0
agains,0.3320349599595294,27.0
againstmy,0.30483989008115936,1.0
agan,0.8020783999989168,1.0
agane,0.2753682007675601,1.0
aged,0.29740414202609267,86.0
agendum,0.7576069071823784,1.0
agent,0.2138456448497394,379.0
agentbond,0.8316917824021991,1.0
agents,0.5836207949590502,29.0
aggression,0.6456445027533917,91.0
aggressiv,1.5137620445430529,5.0
aggressive,0.4541295904964586,306.0
aggressor,0.29681207796968895,49.0
aggro,1.1956365364395194,7.0
agitated,0.6074023485352009,16.0
agitator,0.4871208423768828,8.0
agoian,1.4801627726811681,11.0
agony,1.4398630856195223,20.0
agorrantly,0.7405057834575771,1.0
agression,0.6631073090849007,11.0
agrue,0.6952048292682442,1.0
agsman,0.9987526302755673,6.0
ahaghagagagaa,0.4795803480466225,1.0
ahah,0.5268421107040131,5.0
ahaha,1.368834567772409,5.0
ahahah,0.7290699380633388,1.0
ahahaha,1.031055170624351,3.0
ahahahaahhahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha,0.46097609129805006,1.0
ahahahaha,0.7685429647167618,2.0
ahahahahahahahahahahaha,0.7851881493217242,1.0
ahahahahahahahahahahahahahahahahahahahahahaahhahahahahahahahahahahahahahah,0.46097609129805006,1.0
ahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahah,0.46097609129805006,1.0
ahahahahahahahahahhahahahhaa,0.7851881493217242,1.0
ahahahahahahhahahahahahahahahahhahahahahahahahahahahahahahahahaha,0.7580637796545785,1.0
ahahahahhahaha,0.3423277409932845,1.0
ahamed,0.6091034260293828,1.0
ahbl,0.9011697228706649,4.0
ahd,0.6713467312436933,8.0
ahed,0.49779483749641645,2.0
ahha,0.47267563126739487,28.0
ahhahahah,0.3092685040973173,1.0
ahhahahaha,0.7829065507423003,1.0
ahmadinejad,0.7322844983549419,53.0
ahmadis,0.43093270621125523,6.0
ahnuld,0.8374302987382519,1.0
ahole,1.4213547566084628,13.0
ahoy,0.5245880221831836,12.0
ahs,0.2541220571780899,17.0
ahte,0.89435350053789,1.0
ahve,0.48149316513126117,30.0
ahyyee,0.6091034260293828,1.0
aide,0.5107855626892629,33.0
aiding,1.5199897462856502,24.0
aidz,0.40029984364905663,1.0
aight,0.33212712313888915,5.0
aild,0.7649752909662928,1.0
ailing,0.4467071625193789,2.0
ailment,0.4734952491420161,9.0
ainm,1.0182949306021407,5.0
aints,0.6260846357618808,1.0
aipac,0.9501985100896514,28.0
airborne,0.5108177144020785,16.0
airbus,1.0457650959063156,29.0
airlift,0.7265558883756564,2.0
airliner,0.5866815509331135,37.0
airports,0.45240908135985985,14.0
airspace,0.6178161939373187,8.0
aise,0.2191272906436244,1.0
aj,0.7695617108080307,24.0
ajkbut,0.42090572938900594,1.0
ajraddatz,0.3603149931565404,1.0
akbar,1.415213600118006,39.0
akbarnama,0.41388687052798406,1.0
ake,0.5143775405807077,7.0
akhed,0.2704699858373496,3.0
aking,0.292548921828675,4.0
akkadian,0.2739585925721669,13.0
akkadians,0.5262589215687543,3.0
akm,0.5579517980622924,6.0
akmon,0.2704699858373496,3.0
aknowledged,0.8449075482935978,2.0
aksing,0.3111875069607132,1.0
alaive,0.40476105230715753,1.0
alalalalalalalalalalala,0.7851881493217242,1.0
alalalallalala,0.7851881493217242,1.0
alameen,0.6253687303680855,2.0
alarichus,0.8923625753364887,1.0
alasdairgreen,0.3013264435297733,8.0
albulm,0.5159791244472137,1.0
alc,0.8427064770271327,2.0
alcohol,0.39084463074263853,165.0
alcoholic,0.24723572295754215,45.0
alderley,0.7061623142254461,2.0
alderton,0.3705738775805218,2.0
aleesha,0.7256734440136834,2.0
aleichem,0.6210424309511885,4.0
alentejo,1.6304900288093713,4.0
aleppo,2.1434729130118875,37.0
alert,1.4561825891205553,360.0
alerting,0.3953531626802436,32.0
alexandeer,0.5105759327326213,1.0
alexanderjones,0.866177617401317,1.0
alexsloan,0.8889686462157597,1.0
alf,0.9859459989811931,40.0
alienate,0.22139927598453954,18.0
alienated,0.7063705667363578,15.0
alienating,0.5056522727967409,8.0
alight,0.5013018274993912,7.0
alike,1.2442917670425588,122.0
alive,0.20490254869313917,397.0
alkivar,1.5186641979589366,11.0
all,0.27063245119201096,5889.0
allahu,0.9987123688064357,10.0
allalalalalalalalalalalalalalallalalalalallalalala,0.7204460037603239,1.0
allallalalalalalalalalaalalaalalalalalal,0.7851881493217242,1.0
alle,0.35333349675198455,39.0
allegations,0.21187769028601688,65.0
allegedaly,0.7843207578875472,1.0
alleges,0.315046949533767,19.0
allegiance,0.25614795099041027,117.0
allemandtando,0.721644329848624,2.0
alley,0.398302743683155,37.0
allgay,0.6278947959051117,1.0
allie,0.35248454641420374,4.0
alligations,1.2408192863255034,3.0
alligenmce,0.4112273858809234,1.0
