token,weight,occurence
007,0.474038929060342,19.0
01914176681,0.8485844977125652,1.0
03alpe01,0.8345873332118913,1.0
06t10,0.8384110377454161,1.0
094,0.8712344137626717,1.0
0k,0.5897880475716261,4.0
0rganizashun,0.554900724486534,1.0
0therf,0.445585622885324,1.0
0waldo,0.6477193906355124,8.0
100kgs,0.7879892235470017,1.0
100million,0.22447245758358425,4.0
10101010,0.8940137273625061,1.0
1017,0.3180270723716407,5.0
10324,0.8358340270833163,1.0
106,0.24355298800096684,168.0
10fags,0.6501107762078462,1.0
10k,0.5548559935765824,14.0
10x,0.30738214634413175,15.0
112supertr0ll,0.5261526201234833,1.0
114,0.23961017999456902,242.0
1153,0.31964429312587084,2.0
117,0.5258113573183171,152.0
11looser,0.7899604398160093,1.0
11one11won11,0.8353480161349817,1.0
11oneoneone,0.6638462926929303,3.0
11th,0.36913756871785014,108.0
122,0.6139168835810458,229.0
1234567890lol,0.4030551937664592,1.0
12397,0.42423694321724464,1.0
124,0.5939646287001454,185.0
125,0.5407002077888228,166.0
12t16,0.20399211983792379,2.0
130,0.2222375809063378,275.0
13th,0.2041152513307895,98.0
144,0.31984737570332,279.0
145,0.23875848250325699,182.0
14th,0.2561605777044174,126.0
1500s,0.44141773685956415,6.0
153,0.6510661834036524,157.0
155,0.3555801141249412,160.0
156,0.21979295746165667,175.0
157,0.27834613543428965,150.0
159,0.4026443635535833,207.0
1600,0.7284797172671299,32.0
161,0.20183035876310443,172.0
163,0.29118472700720394,144.0
164,0.3128005025951485,160.0
1694,0.9569656639207123,2.0
172,0.23242012409298876,207.0
174,0.564685748197834,237.0
176,0.4149417423961486,199.0
1788,0.5530046434634146,8.0
1789,0.48915148313590034,16.0
179,1.4589813038855122,157.0
180,0.5381963051138673,218.0
182,0.41461058490746133,181.0
183,0.3393718126643331,157.0
1840s,0.3760762568274026,7.0
186,0.40072831588579394,203.0
1867,0.47229287343735704,66.0
18am,0.8237726288200493,1.0
190,0.2381686166852903,224.0
1913,0.3981227451877819,63.0
1920s,0.2901847022213158,49.0
1930,0.9442546202094372,102.0
1940,0.4244606370358021,120.0
1948,0.5111605517190542,142.0
195,0.3464796566418248,251.0
1950s,0.4773538380441705,100.0
196,0.5885037896567461,144.0
1971,0.35199512946489864,124.0
1978,0.580631684766529,144.0
198,0.4251234751122705,175.0
1987,0.751838231007561,182.0
1989,0.30140316916819376,231.0
1990,0.6486236808257257,320.0
1acb,0.7488794601321568,2.0
1c,1.39768721191013,13.0
1ca8,0.7488794601321568,2.0
1d10t,0.23276500020476074,1.0
1he,0.453988070084641,1.0
1k,0.32706436176244186,8.0
1m,0.49110817455234423,17.0
1st,0.6409701461385925,497.0
2002present,0.8306040606894303,1.0
2013,0.5164901479577032,1181.0
210,0.44642125684509,234.0
2100,0.9632731924346302,11.0
214,0.7917575083748578,158.0
217,0.2878028747732207,196.0
219,0.4792257008633844,135.0
2200,0.3565589036496332,9.0
221,0.2532645026805605,148.0
230,0.3941635472313826,128.0
232,0.6638158505803515,166.0
234,0.4842232467365203,125.0
234934723482,0.5368271789814445,1.0
240z,1.1858585007047104,2.0
244,0.7110708804888602,171.0
245,0.8665660947222928,119.0
2468,0.8628795734892475,2.0
249er,1.3526489102499157,6.0
24hrs,0.47753965135947324,8.0
24th,0.43779978703598627,42.0
25years,0.7091619285697764,1.0
2752,0.3212094527554142,3.0
27oct2008,0.8683511186056091,1.0
28f0,0.4432112548591651,1.0
291,0.6850399027355145,16.0
299,0.3173317882621093,17.0
29th,0.4680831937170128,30.0
2a00,0.6646882006805035,3.0
2cd,0.7713169444418467,1.0
2day,0.5677721605195061,2.0
2he,0.5573519502740172,1.0
2k14,0.8501280487717255,1.0
2k7,0.20855414501083763,1.0
2morro,0.24138455501730652,1.0
2over0,1.160753975734136,6.0
2pm,0.3987012035495999,10.0
2x4,0.3341499739213032,1.0
300lbs,0.25197492198234406,2.0
300p,0.3881899042521772,1.0
30odd,0.8622329934849922,1.0
317,0.522482741896638,8.0
3234434aaa,1.2473740711604149,2.0
33rd,0.4917043909754438,6.0
343,0.4892041322892472,9.0
345,0.6071836117535724,16.0
3500,0.6705172706514138,16.0
35a5,0.4432112548591651,1.0
35am,0.7785102025603667,2.0
3647569137456913746591487569138,0.42423694321724464,1.0
3771,0.6350192015514629,1.0
395,0.2846931652169707,8.0
3am,0.8196407644794641,10.0
3eff,0.7488794601321568,2.0
3insert,0.4881022066542714,1.0
3oh,0.8305779531411435,2.0
3px,1.4595872511443364,466.0
3rred,0.3779225919027142,1.0
3while,0.8025423865954006,1.0
400,0.22152995115293816,293.0
40x,0.9019445831498677,1.0
40y,0.251981034900592,1.0
417,0.6873810627280098,5.0
4170,0.3212094527554142,3.0
420,0.3395227686379059,54.0
450,0.3903712910429916,34.0
4500,0.2108254217969389,6.0
450kg,1.4557352723617192,2.0
456,0.690935322481094,6.0
46,0.4970994886119414,484.0
4c92,0.3212094527554142,3.0
4chan,1.1025832344246485,86.0
4channers,0.46438264872778556,1.0
4cvf4rre545etr6u78,0.35672683537273053,1.0
4ever,0.27743153535383663,10.0
4rom,0.7256778876728781,1.0
4twenty,0.7146999110972878,2.0
500bpm,0.8351561270927139,1.0
5027616,0.8347746084576321,1.0
508d,0.4432112548591651,1.0
50th,0.4981865353452514,17.0
548,1.007645891917883,4.0
54eb,0.42726417942266415,1.0
5500,0.7788054131324816,1.0
56,0.2933023716304737,473.0
578,1.052316240889039,12.0
579,0.2093667216707646,7.0
585,0.7755560219716691,6.0
592,1.0332675896890213,4.0
599,0.6963629962230127,3.0
5cum,0.445585622885324,1.0
5em,0.4729638592367328,153.0
5p,0.36814366759787204,20.0
5px,1.2413853672178523,202.0
5uck,0.5947283539988074,1.0
5x5,0.25628315039482696,1.0
6025,0.7291911016204925,3.0
61,0.7023281609286668,260.0
617,0.7629718375458684,10.0
61739,0.6105915884884399,1.0
618,0.5249548481210983,5.0
62k,1.2680420058286292,2.0
644,0.7934020211157314,5.0
645,0.6077003162872645,7.0
64tb,0.3673260200277622,1.0
650,0.6482661194326479,24.0
6500,0.5619975163790053,11.0
655a,0.4432112548591651,1.0
669,0.8227776393067026,4.0
675004524,0.9020533237093515,1.0
675006605,0.851313728479363,1.0
678,1.1591500666529069,65.0
68,0.26466389052525113,727.0
685,0.6075600493398455,9.0
6de5,0.3078190290348252,4.0
6th,0.2769885596771293,182.0
700,0.3529274218460735,139.0
70th,0.6888452819499754,5.0
71,0.5159880228634885,687.0
714,0.8200430562308222,4.0
737,0.5740487488718068,17.0
74,0.28694535319275444,393.0
