token,weight,occurence
0bama,0.37208778311802804,10.0
0bamas,0.22527168715621984,1.0
10ins,0.3776749112611631,1.0
11year,0.48052759713100385,2.0
12yearold,0.6312962642573325,3.0
14,0.2539162220612308,1.0
14year,0.39822032705830557,2.0
17yearold,0.3042319246943861,2.0
17yearoldfemales,0.2997566520588293,1.0
1800idiot,0.7185482190963999,1.0
1990s,0.6875549939971165,17.0
1k,0.28531371148972995,4.0
20k,0.26078872122975305,10.0
28yr,0.3230757870016453,1.0
2x4,0.5810656257539091,1.0
34c2945,0.5204804138343543,1.0
35m,0.21140273766629453,1.0
3kmonth,0.31414350479963227,1.0
40yrs,0.7582999248403278,2.0
4ever,0.3457442278482191,1.0
4yearold,0.32662180757497217,2.0
560k,0.22145273381954772,1.0
5ft,0.3780702432124317,2.0
5k,0.4493085046629929,5.0
5millim,0.29415218398700615,1.0
5w,0.2356614955037984,2.0
5yearold,0.8297716430673531,4.0
64hoo,0.5122947555707239,2.0
66k,0.21437010361837666,3.0
6x6,0.6233350792376051,2.0
6yearold,0.21614702658988075,2.0
711s,0.27938069504275953,1.0
71year,0.20118211201309255,1.0
76k,0.24957768456222065,1.0
907ak,0.6302854453203786,9.0
a3holes,0.5098971605279312,1.0
aapl,0.2178687319237452,1.0
abcs,0.2963300110030564,2.0
abdomen,0.2317462165427676,3.0
abdul,0.21110239851373455,3.0
abe,0.34408938698461977,12.0
abedin,0.3518676262488974,6.0
abetter,0.3162799826647295,1.0
abhorrent,0.9145886317874424,28.0
abhors,0.21261025951808032,2.0
abilitypower,0.49204864216625094,1.0
abill,0.3199358860503864,1.0
abject,0.9019248955272567,31.0
abjectly,0.39661073961928134,4.0
abnormal,0.5808476574070635,9.0
aboard,0.8705556078248938,16.0
abolish,0.5225461866762762,21.0
abominable,0.42899732370200705,8.0
abominably,0.7720691794985137,2.0
abomination,0.9576968527352724,19.0
aborigines,0.3022468877707211,3.0
aborted,1.0054565318952242,9.0
aborting,0.2774372302136029,6.0
abound,0.5080075981355843,18.0
aboutaccuracy,0.3017362061421453,1.0
aboutcommits,0.28809385772348445,1.0
aboutidiots,0.5175230048811484,1.0
aboutmins,0.48217166810567286,2.0
aboutpathetic,0.3017362061421453,1.0
aboutrinos,0.480674197762355,1.0
aboutsupport,0.30575164085311357,1.0
abovestreet,0.47693589708209944,1.0
abrahamic,0.5121549533460916,7.0
abroad,0.21649183690118284,42.0
absoloute,0.2238099844808085,2.0
absolute,0.6227685437784924,327.0
absolution,0.21975652435084564,4.0
absurd,0.754900246992901,129.0
absurdity,0.45116628745388415,16.0
absurdly,0.356706707021739,8.0
abuse,0.2549993926278875,462.0
abused,0.2506898827273747,142.0
abuser,0.9804729014722937,75.0
abusers,0.7453742591357367,65.0
abuses,0.7268948384805499,56.0
abusing,0.9898640462804585,80.0
abusive,0.666511378844086,102.0
abysmal,0.2217481582357687,22.0
abysmally,0.8142467792247352,12.0
abyss,0.7251234217247321,14.0
academics,0.5325248642600523,34.0
acaeface,0.26647982344221915,1.0
acal,0.23211645524953647,2.0
accessories,0.6540740554536055,7.0
accidence,0.364110786615223,1.0
accomadate,0.3021652948841592,1.0
accomodating,0.23174318940628919,1.0
accompanied,0.4871148385652748,20.0
accomplices,0.4977844883557336,5.0
accords,0.5526313214754056,6.0
accost,0.6381689883219427,2.0
accpunt,0.5000809005448162,1.0
accreditation,0.52193494764558,3.0
accuses,0.3759309184428448,10.0
acid,0.24104550964694904,24.0
acidly,0.21793521566064414,1.0
acknowlege,0.33498437569487605,1.0
aclown,1.7465678950806256,6.0
aclowns,0.6328520391590876,1.0
acme,0.3310748019241647,3.0
acnepockmarked,0.26116303484446257,1.0
acolyte,0.28875949019728453,1.0
acosta,0.4992128326103935,8.0
acquiescing,0.25097512150183193,3.0
acquired,0.34275387459075995,19.0
acquittal,0.47603599396958196,4.0
activist,0.3823959120409315,51.0
actor,0.4617863260668883,39.0
actors,0.6927061898957624,46.0
actresses,0.6394505169667525,7.0
actuallyand,0.20713722274928062,1.0
adams,0.3142141846679325,17.0
addaled,0.3649267223040686,1.0
addict,1.8203636280037345,51.0
addicts,1.1338852770103067,118.0
