token,weight,occurence
aaa,1.0821773362109037,6.0
aake,0.39358531764819654,1.0
aamir,0.6898309250897678,3.0
aannyywwhheerree,0.9260060738418073,1.0
aarp,1.4108615906638113,3.0
abacus,0.6971645687617589,2.0
abandon,0.4521594078707829,56.0
abb,0.3108888925646005,5.0
abd,0.6824890653412202,40.0
abe,0.9719394131563979,29.0
abeg,0.38144723702617384,1.0
abett,0.897663927453527,1.0
abetting,0.7605444519878068,6.0
abey,0.9999314787443779,2.0
abkaz,0.7158403167675936,1.0
abkazia,0.49161300814698317,3.0
abkazians,0.7158403167675936,1.0
abnormal,0.24517426612639126,19.0
abominably,0.548715078740317,1.0
aborigine,0.7226237606515127,15.0
aborted,0.33859058204175385,10.0
abortionist,0.6318832673194613,2.0
abou,0.7814184688176677,18.0
about,0.347494116691386,875.0
abrahms,0.8484136686627712,1.0
abrams,1.3809700586485414,21.0
abrevashun,0.782574933163666,2.0
absalom,0.7826308298561498,1.0
absofuckinglutely,0.716990542970526,1.0
absolom,0.7826308298561498,1.0
absolte,0.3703984038682375,2.0
absolutly,0.4037130668001954,26.0
absorb,0.7032522440932687,18.0
absorbed,0.9040864814768419,41.0
absorbing,0.38377457670022797,6.0
abueses,0.4231571082982661,1.0
abundantly,0.21262344255464058,33.0
abused,0.2652525668030947,175.0
abuser,1.2010027079722254,42.0
abusive,0.2787103145596218,354.0
abut,0.7417521172183751,10.0
abyss,0.4050705886768225,8.0
academia,0.337430397689326,91.0
acb,0.8911568475992484,3.0
acceptance,0.2062706669908372,130.0
accessing,0.467705610795114,20.0
accidential,0.76186914584405,1.0
accomplice,0.8649003996500687,16.0
accomplish,0.33859470368423855,115.0
accomplishment,0.4245883623895313,84.0
accontless,0.3273326304386534,1.0
accord,0.2781706450576458,70.0
accounst,0.4055571462667127,1.0
account,0.2555235464300505,4765.0
accountabilty,0.7854949795816252,1.0
accout,0.7955594686481706,5.0
accoutns,0.8463797160783733,1.0
accpetable,0.5513976770514132,1.0
accreditation,0.5218971730285775,44.0
accross,0.6882414346472094,21.0
accuse,0.21466069209716301,445.0
aclu,0.327754271121281,22.0
acquire,0.9318880780490174,26.0
acquisition,0.4888847526869859,36.0
acs,0.6433530227450809,23.0
actaully,0.9320110535720051,5.0
activating,0.8299790779712136,1.0
activism,0.6035454148142805,59.0
activite,0.8652714308194334,1.0
activities,0.33434536107887064,14.0
actress,0.6021984787790592,180.0
actrually,0.7785331329397258,1.0
actuall,0.6539418891310547,7.0
actualy,0.2779669008295099,23.0
acuse,0.3434929364945056,7.0
acutually,0.6618554008149751,1.0
adage,0.2795452246275719,5.0
addaled,0.7133767148927006,1.0
addiction,0.7599889654512969,80.0
addy,0.32241266222588194,8.0
adequate,0.47934214871407793,137.0
adequately,0.4451896168919436,112.0
adhered,0.6448981077789738,24.0
adi,0.3433094537332239,29.0
adieu,0.34723934518021715,11.0
adige,0.27108588813409007,22.0
adjunct,0.6574659384931314,16.0
adjust,0.27262330797781625,67.0
adlade,1.0606795485480267,2.0
admi,0.4210627699463055,30.0
adminastator,0.8029562935953589,1.0
administratives,0.3357448718217519,2.0
